trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,14.814841300001717,15.887797499999579,15.905635800001619,down,1,1.1955503999924986,None,-2,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
1,0,1,0,17.1215114000006,18.107469300004595,18.124191200004134,down,0,0.7398594999904162,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
2,0,2,0,18.888151999999536,19.873327200002677,19.890124500001548,down,1,0.7143854999958421,None,-3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
3,0,3,0,20.621062100006384,21.60427560000244,21.620524700003443,down,1,0.8230178000012529,None,-3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
4,0,4,0,22.47016910000093,23.455240300005244,23.472363300003053,down,1,0.6185983999894233,None,-5,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
5,0,5,0,24.11958450000384,25.1053000000029,25.122180900005333,down,0,0.6329463000001851,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
6,0,6,0,25.769472400002996,26.75255940000352,26.7691799000022,down,1,0.5586628999881214,None,-4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
7,0,7,0,27.35210740000184,28.335001600004034,28.351792400004342,down,0,0.6147568999949726,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
8,0,8,0,28.984933300002012,29.969997300002433,29.98650460000499,down,1,1.1830044999951497,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
9,0,9,0,31.183720100001665,32.167311200006225,32.18419910000375,down,0,0.7760014999948908,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
10,0,10,0,32.98383370000374,33.96935500000109,33.9862304000053,down,0,0.5913978999960818,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
11,0,11,0,34.600042199999734,35.58545620000223,35.601377500002855,up,0,0.7526334999929531,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
12,0,12,0,36.36545920000208,37.367751199999475,37.367751199999475,down,0,0.7848251999967033,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
13,0,13,0,38.198067600002105,39.18379330000607,39.200238600002194,down,0,0.5653629999942495,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
14,0,14,0,39.7814639000062,40.76700610000262,40.78423670000484,down,0,0.9827702999973553,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
15,0,15,0,41.78028730000369,42.764194100003806,42.78109350000159,down,1,3.6282119999887072,None,-3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
16,0,16,0,46.41323779999948,47.41385150000133,47.41385150000133,down,0,1.3935836999953608,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
17,0,17,0,48.845566300005885,49.83077540000522,49.847645500005456,down,1,1.3797083999961615,None,-3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
18,0,18,0,51.244144600001164,52.229448500002036,52.24659720000636,down,0,1.2670696999921347,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
19,0,19,0,53.527155499999935,54.51290069999959,54.52955710000242,down,0,1.3744402999946033,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
20,0,20,0,55.926981300006446,56.91087950000656,56.92847240000265,up,0,0.9781009999933303,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
21,0,21,0,57.92552280000382,58.911190600003465,58.92769560000306,down,1,0.7323197999940021,None,4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
22,0,22,0,59.67534650000016,60.66040440000506,60.67760100000305,down,1,0.6792229999919073,None,4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
23,0,23,0,61.37416210000083,62.36025110000628,62.37658590000501,down,1,0.8290765999990981,None,3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
24,0,24,0,63.22385310000391,64.20935880000616,64.2259708000056,down,1,0.612878499996441,None,4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
25,0,25,0,64.85672850000265,65.84191960000317,65.85891439999978,up,1,1.3554894999979297,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
26,0,26,0,67.22390650000307,68.22462450000603,68.22462450000603,down,1,1.6242543999906047,None,-4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
27,0,27,0,69.88834640000277,70.87143389999983,70.88863340000535,up,1,1.064742099995783,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
28,0,28,0,71.97094420000212,72.95655680000345,72.9733550000019,down,1,0.7284829999989597,None,-3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
29,0,29,0,73.72073230000387,74.70622860000003,74.7229598000049,down,1,0.6635943999935989,None,-3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
30,0,30,0,75.40335590000177,76.38897420000285,76.40555950000271,up,1,1.015327499990235,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
31,0,31,0,77.43617410000297,78.42151659999945,78.43864130000293,down,1,1.0893677999920328,None,3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
32,0,32,0,79.55233869999938,80.53812690000632,80.55503030000546,down,0,0.9977483999900869,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
33,0,33,0,81.56822050000483,82.55374610000581,82.57039680000162,down,1,1.2333123999924283,None,-2,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
34,0,34,0,83.81777390000207,84.80373790000158,84.82021350000286,up,0,0.8090953999999329,None,-1,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
